"Nome_u"	"Dia_P"	"Mes_P"	"Ano_P"	"Cidade"	"Estado"	"Mes_exp"	"Ano_exp"	"Comentario"
"39"	"CarlosPla1956"	"27"	"setembro"	"2016"	"Pelotas"	"RS"	"setembro"	"2016"	"Ao entrar no fervedouro não se tem idéia da sensação que estar prestes a experimentar. Uma água muito clara, uma areia muito branca, muitos peixes pequenos e a incrivel sensação de não afundar, apesar de flutuar. Completa-se com uma abundante arborização em volta, que proporciona uma temperatura agradavel."
"40"	"DCSP2014"	"27"	"setembro"	"2016"	"São Paulo"	"SP"	"setembro"	"2016"	"Muito diferente, inexplicável! Água transparente, brota água do fundo em bolhas, que fazem vc boiar sem fazer esforço. Há local para camping e restaurante (comida caseira caprichada!)."
"41"	"Victor B"	"23"	"setembro"	"2016"	"Ribeirão Pires"	"SP"	"julho"	"2016"	"Eu não tenho como explicar a sensação, gostaria, mas não dá. Como vou explicar aos leitores um lugar onde possui 70 metros de profundidade e você não consegue afundar? Não da para entender, só mesmo sentindo na pele, mas é o lugar mais incrível e mais lindo que você possa imaginar, nem mesmo mil fotos descrevem a beleza deste lugar."
"42"	"Renatochaves"	"22"	"setembro"	"2016"	"Rio Janeiro"	"RJ"	"setembro"	"2016"	"simplesmente impressionante. Você flutua na água, tamanha a pressão das bolhas que brotam do fundo do lago. Sem perigo algum, até quem não sabe nadar curte"
"43"	"NAKCHUNG"	"19"	"setembro"	"2016"	"Fortaleza"	"CE"	"setembro"	"2016"	"A forca da natureza eh incrivel vista do fervedouro...A forca da agua eh tao grande que ficamos boiando...claro tem que ficar em cima do olho dagua...vale muito a pena a visita"
"44"	"Alepaty"	"16"	"setembro"	"2016"	"Campo Grande"	"MS"	"setembro"	"2016"	"Agua cristalina e de temperatura bastante agradavel!!! Tem varios fervedouros na região então se este estiver cheio, siga para o proximo!"
"45"	"Wagmar A"	"25"	"julho"	"2016"	NA	NA	"janeiro"	"2016"	"Ambiente extremamente agradável e aconchegante. Natureza intocável de águas límpidas e cristalinas. A fonte brota do fundo da lagoa abaixo da areia e impede que você afunde."
"46"	"wggiusti"	"7"	"julho"	"2016"	"Brasília"	"DF"	"junho"	"2016"	"O fervedouro é um lugar mágico. É formado por uma nascente de águas translúcidas e  cristalinas, com temperatura muito agradável ,  cercada por bananeiras e uma densa vegetação e com fundo de areia branca. Devido á pressão da água que nasce do fundo é impossível afundar e você tem a sensação de flutuar em sua águas. Essa sensação é indiscritível e o prazer de curtir este momento ficará gravado para sempre em seus olhos e em seu coração. É um momento,únco em sua vida. Não deixe escapar esta oportunidade ."
"47"	"Camillax22"	"1"	"julho"	"2016"	"Rio Janeiro"	"RJ"	"junho"	"2016"	"Por favor, caso vá ao Jalapão, visitem-o!Lindíssimo, in natura! Valor da visitação cerca de 10 a 20 reais por pessoa. Pertence a propriedade de uma família local cujo patriarca foi mordido por uma sucuri e vale a história. Peça para contar a história ,pós visitação e um café tb !;)"
"48"	"danicasabona"	"24"	"junho"	"2016"	"São Paulo"	"SP"	"junho"	"2016"	"Lugar maravilhoso! Água cristalina, areia branquinha!O mais sensacional é que você não afunda por nada, pode tentar mergulhar e descer a força da água não vai te deixar afundar.Um dos pontos mais altos da viagem ao Jalapão."
"49"	"ceguicegui"	"13"	"junho"	"2016"	"Jaguariúna"	"SP"	"maio"	"2016"	"Lindo lugar! As águas são cristalinas e a areia muito fina e branca, parece até um talco... Incrível como a água brota da terra, não permitindo que vc afunde, é como uma gravidade ao contrário!"
"50"	"Luiz Fernando D"	"28"	"maio"	"2016"	NA	NA	"maio"	"2016"	"Uma atração imperdível no Jalapao. Esse fervedouro além de lindo é muito interessante. Vale a pena passar algum tempo."
"51"	"luizaugustosilva"	"9"	"maio"	"2016"	NA	NA	"abril"	"2016"	"Este é um daqueles lugares que o simplicidade faz toda a diferença. A estrutura do local é simples, bem característico dos quilombolas, mas a comida é uma das mais gostosas que já comi. O atendimento também super acolhedor. E sobre o atrativo principal apenas uma expressão: Deus é perfeito !!! No meio do nada brota uma \" piscina \" que dá vontade de passar o dia inteiro dentro. Beleza ímpar."
"52"	"carlas8"	"2"	"maio"	"2016"	"Salvador"	"BA"	"março"	"2016"	"O lugar é um paraíso perdido no meio do nada. O visual é de cair o queixo e o banho é impagável. Não espere uma estrutura turística,  o acesso é ruim, por estradas carroçais e a disponibilidade de refeição é super limitada, feita por moradores locais, muito simples e caseira."
"53"	"Cláudia Q"	"30"	"abril"	"2016"	"Rio Janeiro"	"RJ"	"abril"	"2016"	"O poço do fervedouro é uma experiência Imperdivel, onde você mergulha numPoço com areia no fundo e a nascente do rio faz seu corpo afundar sem controle. Ao mesmo tempo a água te puxa pra cima. Muitas sensações. Vale muito a pena."
"54"	"Raphael L"	"28"	"abril"	"2016"	NA	NA	"abril"	"2016"	"Conhecer o fervedouro foi uma maravilhosa experiência, a sensação inicialmente é muito diferente, mas se torna deliciosa!!! um lago que não deixa você afundar...a natureza realmente é sensacional!!! Obrigado agência Jalapão Extremo por me proporcionar esta experiência!"
"55"	"TocantinsAventuraTur"	"25"	"abril"	"2016"	"Palmas"	"TO"	"abril"	"2016"	"Bom local para descobrir as surpresas que a natureza de encarrega e produzir! Água transparente em uma pequena piscina natural que jorra água com força suficiente para não deixar os banhistas se afundaram!"
"56"	"Carlos Henrique M"	"25"	"abril"	"2016"	"Rio Janeiro"	"RJ"	"abril"	"2016"	"para nós foi uma grande novidade, uma experiência única proporcionada pelo fato de flutuarmos, ou seja, não existe a menor possibilidade de afundar. Uma sensação fantástica!"
"57"	"Ana Luiza R"	"24"	"abril"	"2016"	NA	NA	"abril"	"2016"	"Águas límpidas e tranquilas, nunca tinha visto nada parecido.  Realmente muito impressionante!! Só conhecendo para saber!! "
"58"	"solanger953"	"13"	"abril"	"2016"	"Taboão Da"	"Serra"	"abril"	"2016"	" Fervedouro do Ceica, em Mateiros. Estacionamento próximo a placa indicativa do local. Acesso ao vertedouro, 300m a pé. Custo da entrada por pessoa, 10 reais. Local não tem sanitários. Somente um local bem simples para troca de roupa. Pode fazer piquenique no local, mas por favor, recolha o lixo e leve consigo, para destino correto. Neste, fervedouro, comporta 6 pessoas. Dias ideais para curtir sem restrição de tempo _ dias de semana. Provavelmente feriados e fim de semana, segundo informação do proprietário tem fila de espera para entrar e restrição de tempo para ficar no local. Vale muito a pena conhecer. "
"59"	"lidiamaiara"	"29"	"março"	"2016"	"São Paulo"	"SP"	"janeiro"	"2016"	"Diferente de qualq8er outro lugar que já fui, aliás a região é lotada de fervedouros maravilhosos, geral,ente preço 10,00 para entrar."
"60"	"fafeijo"	"27"	"março"	"2016"	"Salvador"	"BA"	"outubro"	"2015"	"Um lugar mágico, com água potável.A primeira impressão quando se pisa no centro, onde não dá pé, é a sensação de que irá afundar. Mas depois percebe-se que é impossível afundar, visto que a água brota daí."
"61"	"Roberto B"	"5"	"março"	"2016"	NA	NA	"julho"	"2015"	"Os fervedouros são fantásticos. Vale a pena ir numa época que não seja alta estação, pois da tempo de ficar mais."
"62"	"fpcarneiro"	"17"	"fevereiro"	"2016"	"Rio Janeiro"	"RJ"	"fevereiro"	"2016"	"O Fervedouro do Ceiça é o mais conhecido e o mais forte de todos que visitamos no Jalapão. Nosso guia Diego nos disse que as fotos de fervedouros do Jalapão na maioria dos cartazes promocionais são de lá. A água tem um azul todo diferente. Apenas seis pessoas entram a cada vinte minutos e o valor cobrado é de R$ 10,00 por pessoa. Após o banho no fervedouro sugiro um mergulho no Rio do Carrapato para tirar toda aquela areia acumulada. Show!"
"63"	"Livia_Lowin"	"11"	"fevereiro"	"2016"	"Rio Janeiro"	"RJ"	"fevereiro"	"2016"	"A sensação de estar dentro d'água é muito incrível. A cor da água é transparente e impressionante.  Há partes rasas e outras profundas(onde é a nascente). O mais incrível é que apesar de não conseguir colocar o pé no chão, a força da água não te deixa afundar!"
"64"	"viajandonaviagem"	"10"	"fevereiro"	"2016"	"Estado São"	"Paulo"	"fevereiro"	"2016"	"Sensação sem igualCuidado pq muitos picaretas dizem ser fervedouros mas este aqui é pra valer e não deixa vc afundarTente cruzar toda a lagoa correndo e surpreenda se"
"65"	"Leidy L"	"28"	"janeiro"	"2016"	"Salvador"	"BA"	"janeiro"	"2016"	"Adorei o fervedouro de seu Ceiça pois a força e a área da da nascente é maior, a água é morna. Uma sensação única, você não tem vontade de sair nunca mais. Sem contar que seu Ceiça (Conceição) é uma simpatia. R$ 10 por pessoa."
"66"	"anaceliam"	"24"	"janeiro"	"2016"	"Santo Antônio do Pinhal"	"SP"	"janeiro"	"2016"	"A cor da água  incrível.  Ter a sensação  de não afundar  muito  boa. Estar em uma \"piscina\" rodeada de bananeiras  10. Vale muito"
"67"	"JulianaSilvaMarinho"	"18"	"janeiro"	"2016"	"Raposa"	"MA"	"janeiro"	"2016"	"Já fui 3 vezes ao Jalapão e posso dizer que são muitos fervedouros. Cada um mais lindo que o outro. Destaco, além do Mumbuca, o do Recanto do Salto e o dos Buritis, ambos com estrutura para almoço."
"68"	"Claudia Vilega R"	"15"	"janeiro"	"2016"	"Sicília"	"Itália"	"janeiro"	"2016"	"Em Mateiros, conhecemos os fervedouros dos Buritis, do Rio Novo e do Ceiça. Na minha opinião, o do Ceiça é o mais legal - em termos do fervedouro em si -, pois a força da água é maior, além da temperatura da fonte ser ligeiramente morna. Ele é o primeiro descoberto na região e não possui nenhuma infraestrutura, além de uma pequena área coberta. E isso não é ruim, pois deixa o lugar bem natural. Tive o prazer de conhecer o Ceiça, com quem vale a pena conversar. A água do Rio Novo é BEM cristalina. Tanto no Rio Novo quanto no Buritis, você pode almoçar. Mas, eles tem que preparar o almoço, assim demora. Não comi em nenhum deles, mas o do Rio Novo dá uma sensação de maior asseio. Em cada um deles, você paga R$ 10,00 por pessoa. Se você puder dispor, sugiro que vá em cada um deles para sentir a diferença."
"69"	"carolmgoulart"	"14"	"janeiro"	"2016"	"Marion"	"Ohio"	"dezembro"	"2015"	"Tente ir no começo ou no fim do dia para nao cruzar com outros turistas.Água limpida, azul e morna. Vários peixinhos em volta.Não tem infra-estrutura."
"70"	"luis m"	"5"	"janeiro"	"2016"	"Piracicaba"	"SP"	"dezembro"	"2015"	"Vc já nadou numa garrafa de água mineral ? Não! Então lá vc tem a sensação de nadar numa piscina de água mineral.."
"71"	"Kelly A"	"3"	"janeiro"	"2016"	"Niterói"	"RJ"	"dezembro"	"2015"	"Adorei a experiência nos fervedouros. É muito boa a sensação de estar flutuando. A água é limpa e quentinha."
"72"	"EstelaMiranda"	"11"	"dezembro"	"2015"	"Bragança Paulista"	"SP"	"novembro"	"2015"	"umamaravilhosa essa sensação de estar com a natureza  sentir a agua borbulhar a seus pés  é fantastico"
"73"	"GHERARDI45"	"24"	"novembro"	"2015"	"Rio Janeiro"	"RJ"	"novembro"	"2015"	"Não adianta ver ou tirar fotos! não dá para se ter ideia do local!  é dificil....de se chegar........sofrido!  Estrada que é quase trilha ! mas vale todo sofrimento!"
"74"	"anazi1973"	"17"	"novembro"	"2015"	"Curitiba"	"PR"	"novembro"	"2015"	"É muito interessante entrar num fervedouro! Nunca sentimos o fundo! É como flutuar, andar num colchão de água, ou sonhar que se está voando. Não tem como ficar lá sem dar muita risada!"
"75"	"Eleusafo"	"6"	"novembro"	"2015"	"Palmas"	"TO"	"outubro"	"2015"	"Fervedouro e uma nascente de águas cristalinas, brota com uma força q as pessoas ficam flutuando não afunda, e uma delícia. Recomendo levar roupa de banho, protetor solar, chapéu e lanche."
"76"	"AChavesV"	"3"	"novembro"	"2015"	"Brasília"	"DF"	"outubro"	"2015"	"Experiência única! Não dá pra ir no Jalapão e não visitar alguns fervedouros... Máscaras de mergulho são uma ótima ideia, já que a água é cristalina."
"77"	"PousadaBeiradaMata"	"16"	"outubro"	"2015"	"Mateiros"	"TO"	"outubro"	"2015"	"Esse sim é um dos mais interessante que vi em toda vida, uma nascente de água extremamente cristalina, nasce com uma pressão enorme dentre uma areia  que nus proporciona a sensação de flutuar.não afunda mesmo."
"78"	"André G"	"8"	"setembro"	"2015"	NA	NA	"setembro"	"2015"	"Lugar lindo, magico, água deliciosa, gostosa. Não dá vontade de sair da água. Não deixei de visitar."
"79"	"EzioC426"	"6"	"setembro"	"2015"	"Rio Janeiro"	"RJ"	"setembro"	"2015"	"Uma nascente não muito grande onde a gente entra e fica brincando de tentar afundar. Não tão legal quanto as de Bonito, mas interessante ainda assim."
"80"	"Carioca ecotur J"	"6"	"agosto"	"2015"	"Mateiros"	"TO"	"junho"	"2015"	"Lindo, um verdadeiro mistério só mesmo no jalapão, essa grande criação divina vale a pena conhecer nosso jalapão. "
"81"	"Viajante31sp"	"30"	"julho"	"2015"	"São Paulo"	"SP"	"abril"	"2015"	"É o fervedouro que a maioria das empresas de receptivo leva, porém não é o fervedouro mais bonito da região. Fui em um fervedouro bem mais bonito, em que a agua era verde cristalina e bem mais bonita e menos gelada. Não gostei muito deste fervedouro"
"82"	"Larissa O"	"30"	"julho"	"2015"	"Hortolândia"	"SP"	"julho"	"2015"	"Nunca vi nada mais lindo em toda a minha vida!! Aliás todas as atrações no Jalapão são imperdíveis!! Mais esse dos Buritis...sem palavras....de tirar o fôlego...uma piscina no meio do nada, água límpida, areia brilhante...."
"83"	"helena_rodrigues2008"	"28"	"julho"	"2015"	"Campinas"	"SP"	"julho"	"2015"	"Visitei um ferve douro.  A sensação é  única e diferente. Não  dá  para comparar com qualquer outra coisa. Água transparente. É  mesmo uma delícia."
"84"	"Doladodecatrip"	"27"	"julho"	"2015"	"Barueri"	"SP"	"julho"	"2015"	"Sensação única de entrar num lugar, não sentir o chão e não afundar... O fenomeno é inesquecível e só estando lá dentro para sentir."
"85"	"EBonocchi"	"16"	"julho"	"2015"	"São José dos Campos"	"SP"	"julho"	"2015"	"nunca tinha visto um fervedouro...muito interessante. Acesso é péssimo! Faltam placas e pessoas mais interessadas em explicar tal fenômeno."
"86"	"Andressa T"	"16"	"julho"	"2015"	NA	NA	"julho"	"2015"	"Tem vários fervedouros,acho que 10, fui em três. É muito legal, uma sensação única a de não afundar e a água não é tão fria! Muito legal."
"87"	"leticiabics"	"30"	"junho"	"2015"	"Belo Horizonte"	"MG"	"junho"	"2015"	"O lugar é diferente de qualquer coisa que já vi! Água transparente e o fundo de areia, tornam o local azul! Interessante entrar e experimentar o fundo da nascente!"
"88"	"zinho11"	"23"	"junho"	"2015"	"São Paulo"	"SP"	"junho"	"2015"	"Fervedouro Firmeza, esse, certamente, é o melhor fervedouro da região. Tem uma pressão forte e você vai sair todo grudado de areia. Por ser o melhor, é o mais disputado, dessa forma, há limite de tempo para visitação dos grupos. Há, ainda, limite de pessoas por vez dentro da água (máximo 6 ou 7). Normalmente, grupos ficam 20 minutos na água. Depois que você sair do fervedouro pode se lavar no rio próximo (gelado!). Lembre-se que você está no Jalapão, logo não tem nenhuma infraestrutura de banheiros e etc,"
"89"	"Camila R"	"19"	"junho"	"2015"	"São Paulo"	"SP"	"janeiro"	"2015"	"Há muitos fervedouros na região. Creio que este perfil seja para o mais conhecido que é do Ceiça (assim minha avaliação é baseada nesta experiência). Vá trocada para banho pois no local há apenas um cercado para se trocar. Não há banheiro. É o fervedouro mais conhecido e disputado, cheio portanto. Ele fica abrigado do Sol o dia todo, por ser rodeado de bananeiras. É o mais forte, em termos de \"fervura\". Depois, para tirar toda a areia do corpo e da roupa de banho, entre no rio ao lado e tome um banho. Cada fervedouro é único e vale a pena conhecer todos os possíveis e abertos a visitação, respeitando as capacidades de carga."
"90"	"susanat847"	"10"	"junho"	"2015"	"Rio Janeiro"	"RJ"	"janeiro"	"2015"	"Uma atração imperdível no Jalapão! Além da cor e temperatura da água, é uma emoção diferente ficar naquela \"areia movediça\" e não afundar. Nos divertimos muito! E a preocupação com a preservação do local é notória."
"91"	"TuristaAmanteDaNatur"	"8"	"junho"	"2015"	"Camaçari"	"BA"	"maio"	"2015"	"Existem vários Fervedouros no Jalapão, a maioria são pequenos e tem que pagar para entrar mais o melhor é o que fica em São Félix"
